::SOS PWR RTG
--SOSP_Rank	*Team	Region	Seed	SOSP_Rating	SOSP_Record
59	Wichita St	West	9	109.4	14-2	1-0	0-0
61	Cincinnati	Midwest	10	109.2	13-5	1-4	2-0
62	Akron	South	12	109.0	14-1	0-0	1-0
64	Illinois	East	7	108.8	12-4	2-2	0-1
69	Iona	West	15	108.3	11-1	0-0	0-0
71	Bucknell	East	11	108.1	14-1	0-0	1-0
73	Temple	East	9	107.8	14-3	1-0	2-0
79	California	East	12	107.1	11-5	0-1	3-1
84	Fla Gulf Cst	South	15	106.5	13-1	1-0	0-0
86	Davidson	East	14	106.4	11-1	0-0	0-0
97	Valparaiso	Midwest	14	105.8	15-2	0-0	0-0
99	Pacific	East	15	105.7	11-2	0-0	0-0
106	NW State	South	14	105.2	9-1	0-0	0-0
107	Harvard	West	14	105.2	12-1	0-0	0-0
117	Southern	West	16	103.9	9-0	0-0	0-0
126	Montana	East	13	102.9	11-1	0-0	0-0
#144	LIU-Brooklyn	East	16	101.5	11-2	0-0	0-0
179	James Mad	East	16	99.2	10-4	0-0	0-0
183	Albany	Midwest	15	98.5	11-4	0-0	0-0
193	W Kentucky	South	16	97.8	10-4	0-0	0-1
229	NC A&T	Midwest	16	95.6	8-3	0-0	0-0
#316	Liberty	Midwest	16	88.5	5-7	0-0	0-0


::Away PWR RTG
--AP_Rank	*Team	Region	Seed	AP_Rating	AP_Record	AP_v1-25	AP_v26-50
1	Indiana	East	1	120.7	7-2	3-0	1-2
2	Gonzaga	West	1	119.1	10-1	1-1	1-0
3	Louisville	Midwest	1	118.7	8-3	2-2	1-1
4	Pittsburgh	West	8	118.3	6-3	1-2	2-0
5	Georgetown	South	2	117.2	6-3	2-1	2-1
6	Memphis	Midwest	6	116.3	9-1	0-0	0-0
7	New Mexico	West	3	116.1	9-4	1-1	3-2
8	St Marys	Midwest	11	115.3	9-2	0-1	0-0
9	Michigan St	Midwest	3	115.2	6-5	1-4	1-1
10	Kansas	South	1	115.1	7-3	3-0	1-1
11	Ohio State	West	2	115.1	5-5	1-4	0-1
12	Miami (FL)	East	2	115.0	10-3	0-1	2-0
13	Kansas St	West	4	114.1	7-3	0-2	1-1
14	Michigan	South	4	113.6	5-5	0-4	2-0
15	Temple	East	9	113.5	8-4	0-2	1-0
16	Wisconsin	West	5	113.4	5-6	1-4	1-2
17	Syracuse	East	4	113.2	5-5	1-3	0-2
18	UCLA	South	6	113.1	6-3	1-0	1-0
19	Duke	Midwest	2	112.9	5-4	0-1	1-1
20	Butler	East	6	112.6	7-4	0-1	0-2
21	Illinois	East	7	112.4	5-6	1-4	1-1
22	Saint Louis	Midwest	4	112.4	6-3	1-0	0-1
23	Marquette	East	3	112.3	5-6	1-3	0-2
24	California	East	12	112.2	6-5	1-1	1-2
25	N Carolina	South	8	111.9	6-6	0-3	0-1
26	Colorado St	Midwest	8	111.8	6-6	0-1	0-4
27	Arizona	West	6	111.7	7-4	0-0	0-3
28	Florida	South	3	111.4	7-5	0-1	0-1
29	Notre Dame	West	7	111.3	4-5	1-3	1-0
30	VCU	South	5	111.2	8-3	0-1	0-1
31	UNLV	East	5	111.2	6-6	0-2	1-2
32	Oklahoma St	Midwest	5	111.1	5-5	1-1	0-2
33	Cincinnati	Midwest	10	111.0	4-5	1-3	0-1
35	Creighton	Midwest	7	110.4	7-5	0-0	0-2
36	Oregon	Midwest	12	110.0	6-5	0-0	2-1
37	La Salle	West	13	110.0	8-6	0-2	1-1
38	Wichita St	West	9	109.8	7-5	0-1	1-0
40	Valparaiso	Midwest	14	109.5	10-5	0-2	0-0
41	Villanova	South	9	109.5	6-7	0-3	1-2
#43	Middle Tenn	Midwest	11	109.4	11-3	0-0	0-1
47	Bucknell	East	11	108.9	12-4	0-0	0-1
48	San Diego St	South	7	108.8	4-6	0-2	0-2
49	Colorado	East	10	108.6	5-7	0-2	1-0
#51	Boise State	West	13	108.4	5-8	1-3	0-2
61	Minnesota	South	11	107.2	3-8	0-4	1-1
62	Mississippi	West	12	107.2	6-6	0-1	0-2
63	Belmont	West	11	107.2	8-5	0-1	0-1
65	NC State	East	8	107.2	3-7	0-2	0-1
71	Oklahoma	South	10	106.7	5-7	0-3	0-1
73	Iowa State	West	10	106.7	4-8	0-3	0-3
77	Akron	South	12	106.5	7-4	0-1	0-0
100	Davidson	East	14	104.8	9-4	0-1	0-0
108	Albany	Midwest	15	104.3	10-5	0-1	0-0
110	Missouri	Midwest	9	104.2	2-8	0-1	0-2
112	Harvard	West	14	104.1	6-8	0-1	0-2
130	Montana	East	13	103.1	10-5	0-1	0-0
134	Iona	West	15	102.9	5-9	0-0	0-1
138	N Mex State	Midwest	13	102.7	6-8	0-1	0-0
143	NW State	South	14	102.2	8-7	0-0	0-1
149	S Dakota St	South	13	101.9	7-9	1-0	0-2
#180	LIU-Brooklyn	East	16	99.9	7-9	0-0	0-0
181	Pacific	East	15	99.6	4-9	0-1	0-1
203	W Kentucky	South	16	98.4	4-9	0-0	0-2
214	Fla Gulf Cst	South	15	97.6	6-9	0-1	0-2
222	Southern	West	16	97.2	8-8	0-0	0-1
234	James Mad	East	16	96.4	4-9	0-0	0-1
#278	Liberty	Midwest	16	93.1	5-11	0-1	0-0
281	NC A&T	Midwest	16	92.9	5-12	0-0	0-2

::Games
--*Game	Round	City	Location
Finals	6	Atlanta, Georgia	33°45′27″N 84°24′3″W
Midwest-West Semifinals	5	Atlanta, Georgia	33°45′27″N 84°24′3″W
South-East Semifinals	5	Atlanta, Georgia	33°45′27″N 84°24′3″W
South Regional Quarterfinals	4	Arlington	32°42′18″N 97°07′22″W
South Regional 1	3	Arlington	32°42′18″N 97°07′22″W
